date,mfg_ipi,elec_commercial_mkwh
2018-01-01,114.02116666666666,9390.080800769996
2018-02-01,106.709875,8561.415143228729
2018-03-01,115.27545833333333,9659.320214866322
2018-04-01,113.03370833333334,9340.784016555946
2018-05-01,116.39254166666667,9525.937601765225
2018-06-01,116.04587500000001,9090.549881417612
2018-07-01,117.10920833333334,9804.790350016034
2018-08-01,117.40162500000001,9839.948202785974
2018-09-01,117.97820833333333,9395.25980619074
2018-10-01,117.70295833333334,9939.99099146087
2018-11-01,117.16220833333334,9530.094915774338
2018-12-01,117.17595833333333,9695.131200168214
2019-01-01,119.52820833333334,9806.591170539536
2019-02-01,111.571375,8762.477741368668
2019-03-01,120.82858333333333,10001.938713610458
2019-04-01,118.377,9984.77257315931
2019-05-01,121.878875,9955.331262060286
2019-06-01,120.86633333333333,9325.60742305316
2019-07-01,122.30679166666665,9924.7516467178
2019-08-01,122.70758333333333,9885.678436813008
2019-09-01,122.24979166666667,9624.753384354068
2019-10-01,121.58583333333333,9867.044969501034
2019-11-01,122.40216666666667,9579.05358154765
2019-12-01,122.20725,9650.754813146164
2020-01-01,122.52979166666667,9794.372473013062
2020-02-01,118.06483333333334,9381.811342181763
2020-03-01,114.33858333333332,8809.560864715995
2020-04-01,57.507583333333336,7209.282719754847
2020-05-01,83.86604166666667,7623.061580682024
2020-06-01,122.50570833333335,8733.469808289672
2020-07-01,122.70358333333333,9376.72161572112
2020-08-01,122.12758333333333,9553.317405522816
2020-09-01,125.468125,9534.58470597987
2020-10-01,124.03083333333332,9784.699068542444
2020-11-01,123.84750000000001,9179.293057956924
2020-12-01,126.70733333333334,9410.638187147051
2021-01-01,126.44766666666668,9118.32410606924
2021-02-01,121.82258333333334,8500.055352939267
2021-03-01,128.62825,9885.082042015252
2021-04-01,122.18420833333333,9595.732563152076
2021-05-01,116.856125,9243.155745480217
2021-06-01,107.53212500000001,7802.305208957809
2021-07-01,100.73700000000001,8173.249012716132
2021-08-01,110.52595833333334,8739.395240665728
2021-09-01,122.952,9205.928582849265
2021-10-01,131.605625,9907.90741033832
2021-11-01,135.05333333333334,9700.69295667445
2021-12-01,135.58133333333333,9922.392808945093
2022-01-01,133.90704166666666,9787.33242143781
2022-02-01,128.09479166666668,8821.415245061855
2022-03-01,135.26145833333334,9985.710552576957
2022-04-01,129.634375,9813.861697829996
2022-05-01,124.12804166666666,9890.299725793851
2022-06-01,131.194,9961.861196819453
2022-07-01,125.22708333333333,10087.65293938873
2022-08-01,131.44520833333334,10261.33668548442
2022-09-01,135.83091666666667,9971.862925615547
2022-10-01,133.46475,10117.581373022773
2022-11-01,138.64849999999998,9895.133927025032
2022-12-01,137.47683333333333,10003.77103408216
2023-01-01,134.86066666666667,9836.337414603751
2023-02-01,132.78358333333333,9300.96566949365
2023-03-01,139.32375,10302.550199966496
2023-04-01,127.22679166666667,9714.32648345195
2023-05-01,133.19808333333333,10586.575233971109
2023-06-01,132.315125,10145.5
2023-07-01,127.07875,10394.207293
2023-08-01,132.50579166666668,10382.274403
2023-09-01,137.40787500000002,10264.298592
2023-10-01,137.30533333333332,10729.876046
2023-11-01,141.59,10466.22553
2023-12-01,139.08270833333333,10518.995648
2024-01-01,141.61858333333333,10693.137788691238
2024-02-01,136.12108333333333,10086.551990617978
2024-03-01,143.65195833333334,10938.0071451509
2024-04-01,135.09054166666667,10528.203483922687
2024-05-01,139.2675,11208.544402020783
2024-06-01,139.188375,10703.791218175198
